units,ob
0.000000,0.987951
0.100000,0.983653
0.200000,0.977802
0.300000,0.969711
0.400000,0.959056
0.500000,0.950025
0.600000,0.937244
0.700000,0.923484
0.800000,0.903294
0.900000,0.885032
