epoch am_loss am_rms dc_loss dc_rms fr_loss fr_rms loss ob_acc ob_loss sp_loss sp_rms
0 0.006717189680784941 0.08195846527814865 0.005728983320295811 0.07569004595279694 0.006007741205394268 0.07750961929559708 0.717795193195343 0.75982666015625 0.6922978162765503 0.007043478079140186 0.08392542600631714
1 0.0018324916018173099 0.04280760884284973 0.004132777452468872 0.06428667902946472 0.003154695499688387 0.05616667494177818 0.42701590061187744 0.981201171875 0.41441676020622253 0.0034791682846844196 0.05898447334766388
2 1.0779801607131958 1.0382581949234009 0.12302234023809433 0.35074540972709656 0.33144646883010864 0.5757138729095459 2.718148708343506 0.98016357421875 0.4396902918815613 0.7460096478462219 0.8637184500694275
3 0.007220135070383549 0.08497137576341629 0.010846382938325405 0.10414597392082214 0.005731999408453703 0.07570996880531311 0.2563231885433197 0.97967529296875 0.22607967257499695 0.006445001810789108 0.08028076589107513
4 0.017358850687742233 0.13175298273563385 0.012001593597233295 0.10955177992582321 0.011119363829493523 0.1054483950138092 0.4344422519207001 0.97943115234375 0.3791174590587616 0.014844974502921104 0.12183994799852371
5 0.015162498690187931 0.12313610315322876 0.010417434386909008 0.10206583887338638 0.010454438626766205 0.10224694758653641 0.5165834426879883 0.97845458984375 0.4669126272201538 0.013636392541229725 0.11677496135234833
6 0.012616429477930069 0.11232287436723709 0.00995853915810585 0.09979248046875 0.009588605724275112 0.09792142361402512 0.5236073732376099 0.97943115234375 0.47880813479423523 0.012635595165193081 0.11240816861391068
7 0.015978967770934105 0.1264079362154007 0.0110242310911417 0.10499633103609085 0.011057708412408829 0.10515564680099487 0.47203630208969116 0.97930908203125 0.41959142684936523 0.014383973553776741 0.11993320286273956
8 0.022150389850139618 0.14883007109165192 0.013581541366875172 0.11653987318277359 0.014636172913014889 0.12098004668951035 0.3868659734725952 0.97979736328125 0.3163062334060669 0.020191634073853493 0.14209726452827454
9 0.04201542213559151 0.2049766331911087 0.021694958209991455 0.14729207754135132 0.024163415655493736 0.1554458737373352 0.30249911546707153 0.979248046875 0.17754696309566498 0.037078335881233215 0.19255734980106354
10 0.08424254506826401 0.2902456521987915 0.037307217717170715 0.19315075874328613 0.04301797226071358 0.20740774273872375 0.3542127311229706 0.980224609375 0.11273995786905289 0.07690504193305969 0.2773175835609436
11 0.07070140540599823 0.26589736342430115 0.03010215237736702 0.1734997034072876 0.036825742572546005 0.1919003427028656 0.3075414299964905 0.98162841796875 0.10571444034576416 0.06419767439365387 0.2533726096153259
12 0.04555273428559303 0.21343085169792175 0.020700296387076378 0.14387597143650055 0.02509622648358345 0.15841788053512573 0.24471533298492432 0.98187255859375 0.1122031956911087 0.041162896901369095 0.2028864026069641
13 0.0284644216299057 0.1687140166759491 0.013871526345610619 0.11777745187282562 0.017315106466412544 0.13158687949180603 0.2221333533525467 0.9814453125 0.13611115515232086 0.026371151208877563 0.16239196062088013
14 0.019563132897019386 0.13986825942993164 0.011037961579859257 0.10506170988082886 0.013679947704076767 0.11696130782365799 0.2211303412914276 0.98162841796875 0.15711627900600433 0.019733009859919548 0.14047424495220184
15 0.0194439347833395 0.13944151997566223 0.009790917858481407 0.09894906729459763 0.012794949114322662 0.11311476677656174 0.23697997629642487 0.9794921875 0.17779549956321716 0.017154689878225327 0.13097591698169708
16 0.017090793699026108 0.1307317614555359 0.008405852131545544 0.09168343245983124 0.010611556470394135 0.10301241278648376 0.20547623932361603 0.98150634765625 0.15273034572601318 0.016637679189443588 0.128987118601799
