units,sp,fr,dc,am
0.000000,0.002575,-0.002393,0.040241,0.027237
0.100000,0.002205,-0.002318,0.033109,0.022326
0.200000,0.001785,-0.002025,0.031602,0.020820
0.300000,0.001604,-0.001952,0.031895,0.021365
0.400000,0.001451,-0.001901,0.030503,0.023585
0.500000,0.001300,-0.001825,0.024517,0.022707
0.600000,0.001104,-0.001705,0.013743,0.019646
0.700000,0.000966,-0.001620,0.000329,0.014596
0.800000,0.000893,-0.001599,-0.021853,0.004438
0.900000,0.000851,-0.001576,-0.055199,-0.010280
