epoch am_loss am_rms dc_loss dc_rms fr_loss fr_rms loss ob_acc ob_loss sp_loss sp_rms
0 0.0063597965054214 0.07974833250045776 0.005919381510466337 0.07693751901388168 0.007049819454550743 0.08396320044994354 0.7142398357391357 0.90338134765625 0.6883940696716309 0.006516739726066589 0.08072632551193237
1 0.001924262149259448 0.04386641085147858 0.004668510053306818 0.06832649558782578 0.0017877737991511822 0.04228207468986511 0.15514099597930908 0.98004150390625 0.14361514151096344 0.003145325928926468 0.05608320236206055
2 1.2232805490493774 1.106020212173462 0.0434156209230423 0.20836415886878967 0.47077909111976624 0.6861334443092346 3.2015926837921143 0.98040771484375 0.6610222458839417 0.8030951619148254 0.8961557149887085
3 0.014706077054142952 0.1212686151266098 0.017455032095313072 0.13211749494075775 0.021040409803390503 0.14505311846733093 0.20988978445529938 0.98211669921875 0.14326006174087524 0.013428215868771076 0.11588017642498016
4 0.02533220872282982 0.15916094183921814 0.01218151394277811 0.11036989837884903 0.021397730335593224 0.14627963304519653 0.27362215518951416 0.98004150390625 0.1940096616744995 0.020701058208942413 0.14387862384319305
5 0.01428492646664381 0.11951956152915955 0.007537897676229477 0.0868210718035698 0.011281282640993595 0.10621338337659836 0.4653180241584778 0.9822998046875 0.4200188219547272 0.012195073068141937 0.11043130606412888
6 0.013068100437521935 0.11431579291820526 0.007783862762153149 0.08822619915008545 0.01045212708413601 0.10223564505577087 0.5675058364868164 0.97955322265625 0.5246688723564148 0.011532851494848728 0.1073911115527153
7 0.010633002035319805 0.10311644524335861 0.007445666939020157 0.08628827333450317 0.009237079881131649 0.09610972553491592 0.591354489326477 0.98065185546875 0.5545427203178406 0.009495978243649006 0.09744731336832047
8 0.012321138754487038 0.11100061982870102 0.007245173212140799 0.08511857688426971 0.010104487650096416 0.10052108019590378 0.5933070182800293 0.9788818359375 0.5523924827575684 0.011243720538914204 0.10603640973567963
9 0.011910167522728443 0.10913371294736862 0.007799855899065733 0.08831679075956345 0.010276585817337036 0.10137349367141724 0.5672987103462219 0.97991943359375 0.5264705419540405 0.010841581039130688 0.10412291437387466
10 0.013868698850274086 0.11776544153690338 0.0071082036010921 0.08431015908718109 0.011812020093202591 0.10868311673402786 0.5201874375343323 0.98077392578125 0.4751957058906555 0.012202825397253036 0.11046639829874039
11 0.015855615958571434 0.12591908872127533 0.00703503517434001 0.08387511968612671 0.012852497398853302 0.11336885392665863 0.44100990891456604 0.9822998046875 0.3913949131965637 0.013871841132640839 0.11777877807617188
12 0.02726002223789692 0.16510608792304993 0.007867975160479546 0.08870160579681396 0.020667575299739838 0.14376221597194672 0.35526564717292786 0.978759765625 0.27560582756996155 0.02386423945426941 0.15448054671287537
