units,ob
0.000000,0.819574
0.100000,0.923917
0.200000,0.950405
0.300000,0.958796
0.400000,0.963319
0.500000,0.968265
0.600000,0.970677
0.700000,0.971372
0.800000,0.975171
0.900000,0.976569
