units,sp,fr,dc,am
0.000000,0.001312,0.001100,-0.031410,0.050801
0.100000,0.001611,0.001107,0.008726,0.075826
0.200000,0.001625,0.001134,0.036415,0.078265
0.300000,0.001484,0.001192,0.049229,0.076056
0.400000,0.001649,0.001316,0.047911,0.070909
0.500000,0.001777,0.001310,0.025963,0.054034
0.600000,0.001730,0.001306,-0.018507,0.030099
0.700000,0.001730,0.001398,-0.079941,0.005152
0.800000,0.001548,0.001803,-0.154051,-0.020580
0.900000,0.001786,0.001404,-0.234393,-0.041718
