units,ob
0.000000,0.948509
0.100000,0.913037
0.200000,0.878931
0.300000,0.833764
0.400000,0.795659
0.500000,0.748580
0.600000,0.699275
0.700000,0.653187
0.800000,0.607452
0.900000,0.564277
