units,sp,fr,dc,am
0.000000,0.006031,0.004785,0.104557,0.056439
0.100000,0.005328,0.004200,0.077357,0.059576
0.200000,0.004923,0.003905,0.067557,0.064618
0.300000,0.004711,0.003730,0.062644,0.067812
0.400000,0.004541,0.003639,0.058669,0.067292
0.500000,0.004565,0.003640,0.056989,0.068610
0.600000,0.004500,0.003567,0.055497,0.068490
0.700000,0.004550,0.003559,0.054170,0.069968
0.800000,0.004598,0.003598,0.054031,0.072920
0.900000,0.004784,0.003710,0.055606,0.083097
