units,ob
0.000000,0.795796
0.100000,0.687298
0.200000,0.598747
0.300000,0.512567
0.400000,0.440105
0.500000,0.374304
0.600000,0.313422
0.700000,0.257013
0.800000,0.206077
0.900000,0.166136
