units,sp,fr,dc,am
0.000000,-0.001754,0.001531,0.177580,0.520514
0.100000,0.002360,0.000884,0.107968,0.215240
0.200000,0.001924,0.000850,0.075099,0.169986
0.300000,0.001767,0.000745,0.052422,0.151237
0.400000,0.001500,0.000983,0.029947,0.132987
0.500000,0.001413,0.000988,0.006086,0.105493
0.600000,0.001446,0.001110,-0.010868,0.074831
0.700000,0.001570,0.001308,-0.025796,0.035919
0.800000,0.001566,0.001557,-0.039417,-0.010464
0.900000,0.001678,0.001606,-0.053578,-0.061102
