,sp,fr,dc,am
rmse,0.006121799,0.004494951,0.08387492,0.09856423
me,0.0014307094,-0.0014109715,-0.021399619,-0.05837722
estd,0.0059522674,0.0042677564,0.081099056,0.079416685
