units,ob
0.000000,0.748387
0.100000,0.908233
0.200000,0.936177
0.300000,0.954464
0.400000,0.959215
0.500000,0.964649
0.600000,0.966326
0.700000,0.970871
0.800000,0.975164
0.900000,0.976253
