units,sp,fr,dc,am
0.000000,0.000447,0.000685,0.121240,0.084580
0.100000,-0.000160,0.000012,0.088744,0.055974
0.200000,-0.000038,-0.000486,0.058674,0.045545
0.300000,-0.000100,-0.000853,0.040910,0.036325
0.400000,-0.000221,-0.000957,0.035401,0.031024
0.500000,-0.000250,-0.000997,0.030649,0.022069
0.600000,-0.000251,-0.001004,0.028718,0.009692
0.700000,-0.000339,-0.000882,0.024417,-0.011902
0.800000,-0.000119,-0.000870,0.017464,-0.042873
0.900000,-0.000002,-0.000778,0.008995,-0.083684
