units,ob
0.000000,0.172124
0.100000,0.538776
0.200000,0.729174
0.300000,0.816269
0.400000,0.850827
0.500000,0.877251
0.600000,0.896388
0.700000,0.912912
0.800000,0.919573
0.900000,0.932495
