units,sp,fr,dc,am
0.000000,0.004208,0.004014,0.073348,0.071083
0.100000,0.004512,0.003722,0.084680,0.082512
0.200000,0.005234,0.003930,0.099419,0.092142
0.300000,0.006018,0.004390,0.112378,0.098498
0.400000,0.006929,0.005007,0.119278,0.104236
0.500000,0.007573,0.005539,0.117693,0.105310
0.600000,0.008470,0.006363,0.113224,0.106771
0.700000,0.009174,0.007090,0.105542,0.109472
0.800000,0.009909,0.007910,0.117374,0.119909
0.900000,0.010658,0.008635,0.158707,0.141057
