epoch am_loss am_rms dc_loss dc_rms fr_loss fr_rms loss ob_acc ob_loss sp_loss sp_rms
0 0.00685699051246047 0.08280694484710693 0.00724654970690608 0.08512666821479797 0.006546078249812126 0.08090783655643463 0.7155829071998596 0.90545654296875 0.6884528398513794 0.0064804526045918465 0.0805012583732605
1 0.0021061075385659933 0.045892346650362015 0.003170392010360956 0.05630623549222946 0.0022517004981637 0.047452088445425034 0.1860620528459549 0.97943115234375 0.17584751546382904 0.0026863557286560535 0.05183006450533867
2 0.24754181504249573 0.49753573536872864 0.8761686086654663 0.9360387921333313 1.2068161964416504 1.098551869392395 3.6565065383911133 0.979736328125 0.552822470664978 0.7731571793556213 0.8792935609817505
3 0.006177814677357674 0.07859908044338226 0.004119424149394035 0.06418273597955704 0.0022334742825478315 0.04725964739918709 0.1163351982831955 0.98394775390625 0.10190103948116302 0.0019034412689507008 0.043628446757793427
4 0.01061379723250866 0.10302329063415527 0.013664105907082558 0.11689356714487076 0.013495918363332748 0.1161719337105751 0.2917759120464325 0.98052978515625 0.2441634237766266 0.00983867235481739 0.09919007867574692
5 0.009183614514768124 0.09583117812871933 0.010808593593537807 0.10396438091993332 0.011385906487703323 0.10670475661754608 0.4851682186126709 0.98126220703125 0.4437510669231415 0.01003902219235897 0.10019491612911224
6 0.008794071152806282 0.09377671033143997 0.009745145216584206 0.09871750324964523 0.009866807609796524 0.0993318036198616 0.5618828535079956 0.98046875 0.5246167182922363 0.008860117755830288 0.09412819892168045
7 0.008651087060570717 0.09301122277975082 0.009203474968671799 0.09593474864959717 0.009629659354686737 0.09813083708286285 0.5860088467597961 0.980712890625 0.5496878623962402 0.008836752735078335 0.09400400519371033
8 0.008744940161705017 0.09351438283920288 0.01062571257352829 0.1030810996890068 0.01062915287911892 0.10309777408838272 0.5818003416061401 0.97918701171875 0.5431869029998779 0.008613565936684608 0.092809297144413
9 0.009923051111400127 0.09961450845003128 0.011836573481559753 0.10879602283239365 0.01118779368698597 0.10577236860990524 0.5619671940803528 0.9774169921875 0.517792820930481 0.011226966977119446 0.10595738142728806
10 0.009064597077667713 0.09520817548036575 0.011696478351950645 0.10815025866031647 0.012218066491186619 0.11053536087274551 0.5044320225715637 0.9813232421875 0.46157971024513245 0.009873165749013424 0.09936381131410599
11 0.011638483963906765 0.1078818067908287 0.013835679739713669 0.1176251694560051 0.01422746293246746 0.1192789226770401 0.43498796224594116 0.9808349609375 0.38278311491012573 0.012503250502049923 0.11181793361902237
