units,ob
0.000000,0.383678
0.100000,0.751476
0.200000,0.844155
0.300000,0.886265
0.400000,0.906399
0.500000,0.921029
0.600000,0.928687
0.700000,0.935998
0.800000,0.940170
0.900000,0.946081
