,sp,fr,dc,am
rmse,0.00494488,0.0035341592,0.06768955,0.07429281
me,-0.0016669286,0.00038809353,0.0057014115,0.015432202
estd,0.0046554473,0.0035127858,0.06744902,0.07267234
