units,sp,fr,dc,am
0.000000,0.004235,0.003776,0.057541,0.071070
0.100000,0.004519,0.003593,0.071478,0.082501
0.200000,0.005229,0.003862,0.086226,0.092133
0.300000,0.006009,0.004346,0.098324,0.098490
0.400000,0.006921,0.004982,0.104869,0.104229
0.500000,0.007562,0.005522,0.104692,0.105306
0.600000,0.008464,0.006341,0.104828,0.106771
0.700000,0.009168,0.007073,0.108226,0.109482
0.800000,0.009908,0.007873,0.133680,0.119930
0.900000,0.010656,0.008592,0.183491,0.141087
