units,sp,fr,dc,am
0.000000,0.004271,0.003427,0.058089,0.066966
0.100000,0.003834,0.003091,0.057331,0.060150
0.200000,0.003769,0.003018,0.059555,0.061244
0.300000,0.003926,0.003057,0.061273,0.064069
0.400000,0.004469,0.003190,0.063283,0.066632
0.500000,0.004763,0.003431,0.063713,0.069493
0.600000,0.005202,0.003692,0.066669,0.071366
0.700000,0.005628,0.003974,0.073341,0.074452
0.800000,0.006184,0.004385,0.085802,0.080220
0.900000,0.006716,0.004805,0.110361,0.088959
