units,ob
0.000000,0.969802
0.100000,0.951332
0.200000,0.927418
0.300000,0.896868
0.400000,0.869790
0.500000,0.839545
0.600000,0.802904
0.700000,0.765709
0.800000,0.729556
0.900000,0.692555
