units,sp,fr,dc,am
0.000000,0.005635,0.004390,0.104266,0.056373
0.100000,0.004895,0.003745,0.077267,0.059533
0.200000,0.004435,0.003408,0.067518,0.064572
0.300000,0.004207,0.003186,0.062617,0.067666
0.400000,0.004024,0.003074,0.058644,0.067122
0.500000,0.003997,0.003055,0.056981,0.068429
0.600000,0.003887,0.002979,0.055527,0.068364
0.700000,0.003853,0.002961,0.054255,0.069923
0.800000,0.003825,0.003002,0.054201,0.073070
0.900000,0.003946,0.003118,0.055884,0.083497
