units,ob
0.000000,0.982674
0.100000,0.974054
0.200000,0.959834
0.300000,0.945383
0.400000,0.928434
0.500000,0.909052
0.600000,0.889928
0.700000,0.867427
0.800000,0.837743
0.900000,0.810696
