units,sp,fr,dc,am
0.000000,-0.000793,-0.001415,0.002965,-0.068505
0.100000,0.000278,-0.001389,-0.004267,-0.059239
0.200000,0.000563,-0.001251,-0.005715,-0.041962
0.300000,0.000819,-0.001286,-0.011050,-0.041736
0.400000,0.001259,-0.001293,-0.014069,-0.047027
0.500000,0.001752,-0.001368,-0.014912,-0.050813
0.600000,0.002153,-0.001448,-0.017632,-0.055329
0.700000,0.002719,-0.001527,-0.027625,-0.061210
0.800000,0.003388,-0.001683,-0.053519,-0.074278
0.900000,0.003787,-0.001701,-0.091104,-0.093602
