units,ob
0.000000,0.915149
0.100000,0.848782
0.200000,0.802328
0.300000,0.743947
0.400000,0.686942
0.500000,0.640880
0.600000,0.588968
0.700000,0.539881
0.800000,0.485078
0.900000,0.438659
