,sp,fr,dc,am
rmse,0.0048449794,0.0038162447,0.06556439,0.06817916
me,0.0023025023,0.0019401906,0.0010020776,0.0010958122
estd,0.0042628995,0.0032862418,0.06555672,0.06817035
