units,sp,fr,dc,am
0.000000,0.004437,0.003844,0.069980,0.077895
0.100000,0.004041,0.003210,0.056670,0.068007
0.200000,0.004079,0.003009,0.054074,0.068621
0.300000,0.004312,0.003057,0.058149,0.073163
0.400000,0.004508,0.003079,0.061294,0.075589
0.500000,0.004773,0.003269,0.063494,0.076197
0.600000,0.005175,0.003471,0.066093,0.074697
0.700000,0.005447,0.003666,0.069838,0.073725
0.800000,0.005815,0.003980,0.077252,0.074741
0.900000,0.006349,0.004367,0.093723,0.077917
