units,ob
0.000000,0.986340
0.100000,0.981428
0.200000,0.970027
0.300000,0.960618
0.400000,0.953329
0.500000,0.938350
0.600000,0.921050
0.700000,0.905185
0.800000,0.882907
0.900000,0.861034
