units,ob
0.000000,0.064889
0.100000,0.316978
0.200000,0.544939
0.300000,0.688867
0.400000,0.765000
0.500000,0.813044
0.600000,0.843021
0.700000,0.869044
0.800000,0.884302
0.900000,0.897959
