units,ob
0.000000,0.005854
0.100000,0.062834
0.200000,0.186756
0.300000,0.318410
0.400000,0.440809
0.500000,0.542018
0.600000,0.620343
0.700000,0.681980
0.800000,0.730115
0.900000,0.764439
